"date","chla"
1997-09-04,0.768840190385338
1997-10-01,0.525023050423166
1997-11-01,0.35881617098894
1997-12-01,NA
1998-01-01,0.293830189334444
1998-02-01,0.311511237436841
1998-03-01,0.320836457095704
1998-04-01,0.375215171906564
1998-05-01,0.354138399426456
1998-06-01,0.387717261328801
1998-07-01,0.60592530572382
1998-08-01,0.719213685794993
1998-09-01,0.767284018817098
1998-10-01,0.655542412809917
1998-11-01,0.53026989745762
1998-12-01,NA
1999-01-01,0.291656731229309
1999-02-01,0.324146118032692
1999-03-01,0.280781285465959
1999-04-01,0.278984470294926
1999-05-01,0.572235700707965
1999-06-01,0.762987186637377
1999-07-01,0.472132453416164
1999-08-01,0.525671460637328
1999-09-01,0.562600134620461
1999-10-01,0.535213262130142
1999-11-01,0.497185259773538
1999-12-01,NA
2000-01-01,0.326955036530743
2000-02-01,0.294302773232541
2000-03-01,0.304360777087084
2000-04-01,0.406272782800176
2000-05-01,0.366150576657746
2000-06-01,0.351668233245099
2000-07-01,0.475503347264805
2000-08-01,0.652804968339228
2000-09-01,0.63001859172009
2000-10-01,0.488231210597844
2000-11-01,0.385856468038225
2000-12-01,NA
2001-01-01,0.389549669373499
2001-02-01,0.313947237294792
2001-03-01,0.321466768823221
2001-04-01,0.417169280854599
2001-05-01,0.777478967543116
2001-06-01,0.643891815406704
2001-07-01,0.482296859219029
2001-08-01,0.582258148465177
2001-09-01,0.59078484887448
2001-10-01,0.554913536323853
2001-11-01,0.372535151410956
2001-12-01,NA
2002-01-01,0.267949816039513
2002-02-01,0.300917013718621
2002-03-01,0.370517387317306
2002-04-01,0.442057260121148
2002-05-01,0.381910137052344
2002-06-01,0.443932510384449
2002-07-01,0.676662788366735
2002-08-01,0.638961704463864
2002-09-01,0.653806843262398
2002-10-01,0.635741909485653
2002-11-01,0.514728316794643
2002-12-01,0.58015060032371
2003-01-01,0.418501119691362
2003-02-01,0.326293487204799
2003-03-01,0.400326808831526
2003-04-01,0.451129800290567
2003-05-01,0.624979435745852
2003-06-01,0.685953124537532
2003-07-01,0.560402151185546
2003-08-01,0.607183987711653
2003-09-01,0.668116018474481
2003-10-01,0.544973383676641
2003-11-01,0.397018775427789
2003-12-01,0.499575010881328
2004-01-01,0.371629931795132
2004-02-01,0.305851095466586
2004-03-01,0.333423898732237
2004-04-01,0.581041371971144
2004-05-01,0.791578443182268
2004-06-01,0.325507132551792
2004-07-01,0.454888634185174
2004-08-01,0.856019752893089
2004-09-01,0.882055336337542
2004-10-01,0.623185914430538
2004-11-01,0.382361279611326
2004-12-01,0.454264137556255
2005-01-01,0.365212123350191
2005-02-01,0.341741300770234
2005-03-01,0.354094000680997
2005-04-01,0.494051502549517
2005-05-01,0.622873814677486
2005-06-01,0.53670818249121
2005-07-01,0.56447500936719
2005-08-01,0.582825291683483
2005-09-01,0.703871863093718
2005-10-01,0.759781522889632
2005-11-01,0.538402040072117
2005-12-01,0.553670479382794
2006-01-01,0.397583221796473
2006-02-01,0.370850869842541
2006-03-01,0.295722183623215
2006-04-01,0.383622129666133
2006-05-01,0.677043454358627
2006-06-01,0.475485544797846
2006-07-01,0.496378275566091
2006-08-01,0.749637074182987
2006-09-01,0.727028974717805
2006-10-01,0.577717015623851
2006-11-01,0.557271633332241
2006-12-01,0.705519086855051
2007-01-01,0.653644767383931
2007-02-01,0.383516485771006
2007-03-01,0.326701604855118
2007-04-01,0.365496583959796
2007-05-01,0.500657630126299
2007-06-01,0.836472608508232
2007-07-01,0.58727300408294
2007-08-01,0.426293690277449
2007-09-01,0.606193417033479
2007-10-01,0.549539180466588
2007-11-01,0.513283344119986
2007-12-01,0.652955825827506
2008-01-01,0.386180819935164
2008-02-01,0.391046619477874
2008-03-01,0.350890644253359
2008-04-01,0.337724755797852
2008-05-01,1.18621218816794
2008-06-01,0.648677809894284
2008-07-01,0.283987991023341
2008-08-01,1.22091200401161
2008-09-01,1.08672392255666
2008-10-01,0.874819447484178
2008-11-01,0.625624914984205
2008-12-01,0.535226976409534
2009-01-01,0.488804035222555
